"Story","Title","Result","Date","Stability","Duration (s)"
"Full regression","All information is updated and saved","SUCCESS","2017-02-10T10:50:40.560-05:00","0.0","1451.47"
"Full regression","Electronic fund application information is updated and saved","SKIPPED","2017-02-10T10:50:39.298-05:00","0.0","0.0"
"Full regression","View notifications on homepage","SKIPPED","2017-02-10T10:50:39.213-05:00","0.0","0.02"
"Full regression","View personalized list of FOAs from the additional resources","SKIPPED","2017-02-10T10:50:39.280-05:00","0.0","0.01"
