"Story","Title","Result","Date","Stability","Duration (s)"
"Full regression","All information is updated and saved","ERROR","2017-02-09T12:40:26.964-05:00","0.0","805.32"
"Full regression","Electronic fund application information is updated and saved","SKIPPED","2017-02-09T12:40:25.626-05:00","0.0","0.0"
"Full regression","View notifications on homepage","SKIPPED","2017-02-09T12:40:25.526-05:00","0.0","0.01"
"Full regression","View personalized list of FOAs from the additional resources","SKIPPED","2017-02-09T12:40:25.607-05:00","0.0","0.02"
